SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1165,Apple,AAPL,2015-07-15 23:59:59,127.15,125.58,125.72,126.82,33559770.0,0.0
1164,Apple,AAPL,2015-07-16 23:59:59,128.57,127.35,127.74,128.51,35987630.0,0.0
1163,Apple,AAPL,2015-07-17 23:59:59,129.62,128.31,129.08,129.62,45970470.0,0.0
1162,Apple,AAPL,2015-07-20 23:59:59,132.97,130.7,130.97,132.07,55204920.0,0.0
1161,Apple,AAPL,2015-07-21 23:59:59,132.92,130.32,132.85,130.75,73006780.0,0.0
1160,Apple,AAPL,2015-07-22 23:59:59,125.5,121.99,121.99,125.22,115288400.0,0.0
1159,Apple,AAPL,2015-07-23 23:59:59,127.09,125.06,126.2,125.16,50832950.0,0.0
1158,Apple,AAPL,2015-07-24 23:59:59,125.74,123.9,125.32,124.5,42090320.0,0.0
1157,Apple,AAPL,2015-07-27 23:59:59,123.61,122.12,123.09,122.77,44371580.0,0.0
1156,Apple,AAPL,2015-07-28 23:59:59,123.91,122.55,123.38,123.38,33570380.0,0.0
1155,Apple,AAPL,2015-07-29 23:59:59,123.5,122.27,123.15,122.99,36912040.0,0.0
1154,Apple,AAPL,2015-07-30 23:59:59,122.5699,121.71,122.32,122.37,33400950.0,0.0
1153,Apple,AAPL,2015-07-31 23:59:59,122.6425,120.91,122.6,121.3,42832890.0,0.0
1152,Apple,AAPL,2015-08-03 23:59:59,122.57,117.52,121.5,118.44,69639900.0,0.0
1151,Apple,AAPL,2015-08-04 23:59:59,117.7,113.25,117.42,114.64,123601900.0,0.0
1150,Apple,AAPL,2015-08-05 23:59:59,117.44,112.1,112.95,115.4,99202400.0,0.0
1149,Apple,AAPL,2015-08-06 23:59:59,116.5,114.115,115.97,115.13,52828890.0,0.0
1148,Apple,AAPL,2015-08-07 23:59:59,116.25,114.5,114.58,115.52,38610120.0,0.0
1147,Apple,AAPL,2015-08-10 23:59:59,119.99,116.53,116.53,119.72,54851010.0,0.0
1146,Apple,AAPL,2015-08-11 23:59:59,118.18,113.33,117.81,113.49,96820670.0,0.0
1145,Apple,AAPL,2015-08-12 23:59:59,115.42,109.63,112.53,115.24,101593400.0,0.0
1144,Apple,AAPL,2015-08-13 23:59:59,116.4,114.54,116.04,115.15,48407640.0,0.0
1143,Apple,AAPL,2015-08-14 23:59:59,116.31,114.01,114.32,115.96,42876370.0,0.0
1142,Apple,AAPL,2015-08-17 23:59:59,117.65,115.5,116.04,117.16,40827260.0,0.0
1141,Apple,AAPL,2015-08-18 23:59:59,117.44,116.01,116.43,116.5,34525630.0,0.0
1140,Apple,AAPL,2015-08-19 23:59:59,116.52,114.68,116.1,115.01,48079330.0,0.0
1139,Apple,AAPL,2015-08-20 23:59:59,114.35,111.63,114.08,112.65,68176940.0,0.0
1138,Apple,AAPL,2015-08-21 23:59:59,111.9,105.645,110.43,105.76,127246600.0,0.0
1137,Apple,AAPL,2015-08-24 23:59:59,108.8,92.0,94.87,103.12,161882500.0,0.0
1136,Apple,AAPL,2015-08-25 23:59:59,111.11,103.5,111.11,103.74,102731700.0,0.0
1135,Apple,AAPL,2015-08-26 23:59:59,109.89,105.05,107.085,109.69,96531890.0,0.0
1134,Apple,AAPL,2015-08-27 23:59:59,113.24,110.02,112.23,112.92,83825220.0,0.0
1133,Apple,AAPL,2015-08-28 23:59:59,113.31,111.54,112.17,113.29,53075960.0,0.0
1132,Apple,AAPL,2015-08-31 23:59:59,114.53,112.0,112.03,112.76,56111590.0,0.0
1131,Apple,AAPL,2015-09-01 23:59:59,111.88,107.36,110.15,107.72,76562170.0,0.0
1130,Apple,AAPL,2015-09-02 23:59:59,112.34,109.131,110.23,112.34,61681250.0,0.0
1129,Apple,AAPL,2015-09-03 23:59:59,112.78,110.04,112.49,110.37,53142590.0,0.0
